Target Distance: 100 , Step Size: 20 
17: (x, y) = ( -9.69452, -2.45281 )
18: (x, y) = ( 9.41037, -3.38305 )
19: (x, y) = ( -1.10387, -9.93889 )
20: (x, y) = ( 9.9339, -1.14785 )
21: (x, y) = ( -5.84184, -8.11621 )
22: (x, y) = ( 4.08082, 9.12945 )
23: (x, y) = ( 6.33319, 7.73891 )
24: (x, y) = ( 3.42466, 9.3953 )
25: (x, y) = ( 0.486335, 9.98817 )
26: (x, y) = ( -7.82231, 6.22989 )
27: (x, y) = ( -9.25148, 3.79608 )
28: (x, y) = ( 3.67319, -9.30095 )
29: (x, y) = ( -5.40328, 8.41455 )
30: (x, y) = ( 8.14181, 5.80611 )
31: (x, y) = ( 0.839594, 9.96469 )
32: (x, y) = ( 3.59044, 9.33321 )
33: (x, y) = ( 7.71061, 6.36761 )
34: (x, y) = ( -0.751361, -9.97173 )
35: (x, y) = ( 9.81111, -1.93444 )
36: (x, y) = ( -8.62304, -5.06392 )
37: (x, y) = ( -3.59072, 9.3331 )
38: (x, y) = ( 8.14181, 5.80611 )
39: (x, y) = ( 9.03705, -4.28155 )
40: (x, y) = ( -7.30194, 6.8324 )
41: (x, y) = ( 8.09028, -5.87771 )
42: (x, y) = ( -9.49687, 3.132 )
43: (x, y) = ( 4.63802, 8.85939 )
44: (x, y) = ( 3.34165, -9.42514 )
45: (x, y) = ( -3.09023, 9.51055 )
46: (x, y) = ( -2.92139, 9.56376 )
47: (x, y) = ( -9.99374, 0.353682 )
48: (x, y) = ( 9.99961, -0.0882117 )
49: (x, y) = ( 6.86487, -7.27143 )
50: (x, y) = ( 1.4547, 9.89363 )
51: (x, y) = ( -7.76667, -6.29911 )
52: (x, y) = ( -4.24152, -9.05591 )
53: (x, y) = ( 3.25781, 9.45445 )
54: (x, y) = ( -0.0439555, -9.9999 )
55: (x, y) = ( -8.79689, -4.7555 )
56: (x, y) = ( 9.11118, 4.12146 )
57: (x, y) = ( 1.27994, -9.91775 )
58: (x, y) = ( 3.34165, -9.42514 )
59: (x, y) = ( -8.71133, -4.91048 )
60: (x, y) = ( 4.00013, -9.16509 )
61: (x, y) = ( -9.81106, -1.93473 )
62: (x, y) = ( -9.43994, 3.29962 )
63: (x, y) = ( 6.86487, -7.27143 )
64: (x, y) = ( -1.1921, 9.92869 )
65: (x, y) = ( 3.83726, -9.23447 )
66: (x, y) = ( -9.79361, 2.0212 )
67: (x, y) = ( -9.3489, -3.54938 )
68: (x, y) = ( 4.55969, -8.89996 )
69: (x, y) = ( -9.1473, -4.04065 )
70: (x, y) = ( 4.24179, -9.05578 )
71: (x, y) = ( 9.07447, 4.20167 )
72: (x, y) = ( 9.64966, -2.62375 )
73: (x, y) = ( 9.37995, 3.46649 )
74: (x, y) = ( 0.486335, 9.98817 )
75: (x, y) = ( 0.751662, -9.97171 )
76: (x, y) = ( -6.19544, 7.84962 )
77: (x, y) = ( -3.174, -9.48292 )
78: (x, y) = ( 9.69459, -2.45252 )
79: (x, y) = ( 9.31711, 3.63199 )
80: (x, y) = ( -1.455, 9.89358 )
81: (x, y) = ( 9.87344, -1.58593 )
82: (x, y) = ( 10, 0 )
83: (x, y) = ( -8.71133, -4.91048 )
84: (x, y) = ( 7.11796, -7.02386 )
85: (x, y) = ( -0.0439555, -9.9999 )
86: (x, y) = ( 9.46878, -3.21594 )
87: (x, y) = ( -1.62991, 9.86628 )
88: (x, y) = ( 9.97494, 0.707522 )
89: (x, y) = ( -7.30194, 6.8324 )
90: (x, y) = ( 9.94364, 1.06017 )
91: (x, y) = ( 5.40302, 8.41471 )
92: (x, y) = ( -7.48058, -6.63634 )
93: (x, y) = ( 2.83662, -9.58924 )
94: (x, y) = ( 9.57668, -2.87874 )
95: (x, y) = ( 7.48078, -6.63611 )
96: (x, y) = ( 1.10417, -9.93885 )
97: (x, y) = ( 7.0553, 7.0868 )
98: (x, y) = ( 1.54251, -9.88032 )
99: (x, y) = ( -2.92139, 9.56376 )
100: (x, y) = ( 4.08082, 9.12945 )
101: (x, y) = ( 0.221268, -9.99755 )
102: (x, y) = ( -2.49569, 9.68357 )
103: (x, y) = ( 6.33319, 7.73891 )
104: (x, y) = ( 3.67319, -9.30095 )
105: (x, y) = ( 9.88705, 1.49877 )
106: (x, y) = ( -9.81106, -1.93473 )
107: (x, y) = ( 2.75192, -9.61389 )
108: (x, y) = ( -5.9137, 8.06401 )
109: (x, y) = ( -9.98592, 0.530535 )
110: (x, y) = ( -2.06453, -9.78457 )
111: (x, y) = ( -0.132767, 9.99912 )
112: (x, y) = ( 4.79412, 8.7759 )
113: (x, y) = ( -2.06453, -9.78457 )
114: (x, y) = ( -7.24097, -6.89698 )
115: (x, y) = ( -4.55942, -8.90009 )
116: (x, y) = ( 9.64966, -2.62375 )
117: (x, y) = ( -1.455, 9.89358 )
118: (x, y) = ( 7.71061, 6.36761 )
119: (x, y) = ( -8.19288, -5.73382 )
120: (x, y) = ( -5.69726, -8.21835 )
121: (x, y) = ( -9.67251, 2.53823 )
122: (x, y) = ( 0.398209, -9.99207 )
123: (x, y) = ( 7.98496, -6.02 )
124: (x, y) = ( -0.30975, 9.9952 )
125: (x, y) = ( -8.95971, -4.44113 )
126: (x, y) = ( -9.96088, 0.883687 )
127: (x, y) = ( -5.84184, -8.11621 )
128: (x, y) = ( -3.174, -9.48292 )
129: (x, y) = ( -0.663369, 9.97797 )
130: (x, y) = ( -0.927762, -9.95687 )
131: (x, y) = ( -9.98081, -0.619203 )
132: (x, y) = ( -6.26444, -7.79466 )
133: (x, y) = ( -1.27964, -9.91779 )
134: (x, y) = ( -1.8043, 9.83588 )
135: (x, y) = ( 8.75445, 4.83318 )
136: (x, y) = ( -4.40116, -8.97941 )
137: (x, y) = ( 3.67319, -9.30095 )
138: (x, y) = ( -0.751361, -9.97173 )
139: (x, y) = ( -1.10387, -9.93889 )
140: (x, y) = ( 8.48554, 5.29108 )
141: (x, y) = ( 8.66752, 4.98739 )
142: (x, y) = ( 6.19521, 7.8498 )
143: (x, y) = ( 9.73649, -2.28052 )
144: (x, y) = ( -8.9988, 4.36138 )
145: (x, y) = ( 0.928062, -9.95684 )
146: (x, y) = ( -8.92018, 4.51999 )
147: (x, y) = ( 9.96085, 0.883987 )
148: (x, y) = ( -5.02544, -8.64551 )
149: (x, y) = ( 6.73507, -7.39181 )
150: (x, y) = ( -7.65395, -6.43561 )
151: (x, y) = ( 9.46878, -3.21594 )
152: (x, y) = ( 9.6017, -2.79415 )
153: (x, y) = ( 1.1918, 9.92873 )
154: (x, y) = ( -9.85902, 1.67326 )
155: (x, y) = ( 6.66916, 7.45133 )
156: (x, y) = ( -9.1113, 4.12118 )
157: (x, y) = ( -5.1777, -8.5552 )
158: (x, y) = ( -5.9846, -8.01153 )
159: (x, y) = ( 6.80001, 7.33211 )
160: (x, y) = ( -9.46868, -3.21622 )
161: (x, y) = ( 9.97494, 0.707522 )
162: (x, y) = ( -8.9988, 4.36138 )
163: (x, y) = ( 9.9339, -1.14785 )
164: (x, y) = ( -0.574724, -9.98347 )
165: (x, y) = ( -8.4857, 5.29083 )
166: (x, y) = ( 9.25136, 3.79636 )
167: (x, y) = ( 8.43854, -5.36573 )
168: (x, y) = ( 9.9859, 0.530836 )
169: (x, y) = ( -8.9988, 4.36138 )
170: (x, y) = ( -6.26444, -7.79466 )
171: (x, y) = ( 3.17429, -9.48282 )
172: (x, y) = ( 5.55113, -8.31775 )
173: (x, y) = ( -8.57803, 5.13978 )
174: (x, y) = ( -7.82231, 6.22989 )
175: (x, y) = ( -9.07459, 4.2014 )
176: (x, y) = ( 3.50797, -9.36451 )
177: (x, y) = ( 4.16174, -9.09285 )
178: (x, y) = ( 1.71717, -9.85146 )
179: (x, y) = ( 8.03775, 5.94933 )
180: (x, y) = ( -3.91885, 9.20014 )
181: (x, y) = ( -0.132767, 9.99912 )
182: (x, y) = ( -4.40116, -8.97941 )
183: (x, y) = ( 7.98496, -6.02 )
184: (x, y) = ( -8.3424, 5.51402 )
185: (x, y) = ( 6.12572, -7.90415 )
186: (x, y) = ( 7.87715, -6.1604 )
187: (x, y) = ( 5.32859, -8.46204 )
188: (x, y) = ( -9.93387, -1.14815 )
189: (x, y) = ( 4.79412, 8.7759 )
190: (x, y) = ( -3.2581, 9.45435 )
191: (x, y) = ( 6.26468, -7.79447 )
192: (x, y) = ( 4.16119, 9.0931 )
193: (x, y) = ( -9.18283, 3.95925 )
194: (x, y) = ( 5.32859, -8.46204 )
195: (x, y) = ( -0.30975, 9.9952 )
196: (x, y) = ( 9.03705, -4.28155 )
197: (x, y) = ( 1.01586, 9.94827 )
198: (x, y) = ( 5.10177, 8.60069 )
199: (x, y) = ( -6.26444, -7.79466 )
200: (x, y) = ( -9.49687, 3.132 )
201: (x, y) = ( 9.77533, -2.10781 )
202: (x, y) = ( 8.99867, 4.36165 )
203: (x, y) = ( -2.66672, 9.63787 )
204: (x, y) = ( 9.9859, 0.530836 )
205: (x, y) = ( -9.75629, 2.19425 )
206: (x, y) = ( -8.9988, 4.36138 )
207: (x, y) = ( 9.87344, -1.58593 )
208: (x, y) = ( 1.54251, -9.88032 )
209: (x, y) = ( 9.07447, 4.20167 )
210: (x, y) = ( 1.89129, -9.81952 )
211: (x, y) = ( 8.48554, 5.29108 )
212: (x, y) = ( 0.309449, 9.99521 )
213: (x, y) = ( -4.32178, 9.01788 )
214: (x, y) = ( -9.89992, 1.4112 )
215: (x, y) = ( -6.19544, 7.84962 )
216: (x, y) = ( 3.34165, -9.42514 )
217: (x, y) = ( -6.92896, 7.21038 )
218: (x, y) = ( -9.84377, -1.76076 )
219: (x, y) = ( 3.91857, 9.20026 )
220: (x, y) = ( -9.64958, -2.62404 )
221: (x, y) = ( 4.87188, -8.73297 )
222: (x, y) = ( -4.71626, -8.81799 )
223: (x, y) = ( 9.37995, 3.46649 )
224: (x, y) = ( 9.43984, 3.29991 )
225: (x, y) = ( 2.15105, 9.76591 )
226: (x, y) = ( -3.75538, 9.26807 )
227: (x, y) = ( -7.65395, -6.43561 )
228: (x, y) = ( 8.83863, 4.67745 )
229: (x, y) = ( -6.60294, -7.51007 )
230: (x, y) = ( 9.64966, -2.62375 )
231: (x, y) = ( 1.1918, 9.92873 )
232: (x, y) = ( 9.14742, -4.04038 )
233: (x, y) = ( 9.8278, 1.84782 )
234: (x, y) = ( -7.59688, 6.50288 )
235: (x, y) = ( 9.349, -3.5491 )
236: (x, y) = ( -9.99374, 0.353682 )
237: (x, y) = ( -9.38005, 3.46621 )
238: (x, y) = ( -7.24097, -6.89698 )
239: (x, y) = ( 7.98496, -6.02 )
240: (x, y) = ( 6.33319, 7.73891 )
241: (x, y) = ( 3.7551, 9.26819 )
242: (x, y) = ( 5.84209, -8.11603 )
243: (x, y) = ( 9.96085, 0.883987 )
244: (x, y) = ( 6.46919, 7.62558 )
245: (x, y) = ( -4.63829, 8.85925 )
246: (x, y) = ( 9.99961, -0.0882117 )
247: (x, y) = ( 9.349, -3.5491 )
248: (x, y) = ( -4.63829, 8.85925 )
249: (x, y) = ( 1.1918, 9.92873 )
250: (x, y) = ( 0.398209, -9.99207 )
251: (x, y) = ( -9.99844, 0.176718 )
252: (x, y) = ( 5.84209, -8.11603 )
253: (x, y) = ( -8.9988, 4.36138 )
254: (x, y) = ( -0.486636, 9.98815 )
255: (x, y) = ( 8.19306, -5.73357 )
256: (x, y) = ( -1.36767, 9.90603 )
257: (x, y) = ( 3.25781, 9.45445 )
258: (x, y) = ( 1.97784, 9.80246 )
259: (x, y) = ( 6.53621, 7.56822 )
260: (x, y) = ( -9.73642, -2.28082 )
261: (x, y) = ( 3.34165, -9.42514 )
262: (x, y) = ( 8.99867, 4.36165 )
263: (x, y) = ( 8.14181, 5.80611 )
264: (x, y) = ( -9.71592, 2.36661 )
265: (x, y) = ( -7.42174, 6.70207 )
266: (x, y) = ( 3.08994, 9.51064 )
267: (x, y) = ( -8.62304, -5.06392 )
268: (x, y) = ( -4.16147, 9.09297 )
269: (x, y) = ( -9.49687, 3.132 )
270: (x, y) = ( -5.62454, 8.26829 )
271: (x, y) = ( -7.42174, 6.70207 )
272: (x, y) = ( -1.01616, 9.94824 )
273: (x, y) = ( 4.40143, -8.97928 )
274: (x, y) = ( -0.663369, 9.97797 )
275: (x, y) = ( -8.24348, 5.66083 )
276: (x, y) = ( 1.71717, -9.85146 )
277: (x, y) = ( 9.73649, -2.28052 )
278: (x, y) = ( 6.66916, 7.45133 )
279: (x, y) = ( 7.93118, 6.09068 )
280: (x, y) = ( 9.9339, -1.14785 )
281: (x, y) = ( -8.2931, -5.58789 )
282: (x, y) = ( 9.14742, -4.04038 )
283: (x, y) = ( 4.87188, -8.73297 )
284: (x, y) = ( 3.67319, -9.30095 )
285: (x, y) = ( 3.59044, 9.33321 )
286: (x, y) = ( -9.25148, 3.79608 )
287: (x, y) = ( -8.57803, 5.13978 )
288: (x, y) = ( 9.94364, 1.06017 )
289: (x, y) = ( -2.15135, 9.76584 )
290: (x, y) = ( -0.30975, 9.9952 )
291: (x, y) = ( -8.66767, 4.98713 )
292: (x, y) = ( 8.48554, 5.29108 )
293: (x, y) = ( 7.53902, 6.56987 )
294: (x, y) = ( -9.95264, -0.972119 )
295: (x, y) = ( -0.30975, 9.9952 )
296: (x, y) = ( 7.0553, 7.0868 )
297: (x, y) = ( 9.55074, 2.96369 )
298: (x, y) = ( 5.32859, -8.46204 )
299: (x, y) = ( -9.38005, 3.46621 )
300: (x, y) = ( -5.55088, -8.31791 )
301: (x, y) = ( 3.83726, -9.23447 )
302: (x, y) = ( -4.16147, 9.09297 )
303: (x, y) = ( -6.99229, -7.14898 )
304: (x, y) = ( -6.60294, -7.51007 )
305: (x, y) = ( -8.79689, -4.7555 )
306: (x, y) = ( 4.16174, -9.09285 )
307: (x, y) = ( 7.42154, 6.70229 )
308: (x, y) = ( 4.79412, 8.7759 )
309: (x, y) = ( -5.55088, -8.31791 )
310: (x, y) = ( 5.84209, -8.11603 )
311: (x, y) = ( 1.89129, -9.81952 )
312: (x, y) = ( 9.6017, -2.79415 )
313: (x, y) = ( 2.06482, -9.7845 )
314: (x, y) = ( -7.65395, -6.43561 )
315: (x, y) = ( -7.82231, 6.22989 )
316: (x, y) = ( -7.98478, -6.02024 )
317: (x, y) = ( -4.40116, -8.97941 )
318: (x, y) = ( 9.77533, -2.10781 )
319: (x, y) = ( -9.94367, 1.05988 )
320: (x, y) = ( -5.02544, -8.64551 )
321: (x, y) = ( 5.84209, -8.11603 )
322: (x, y) = ( -9.84377, -1.76076 )
323: (x, y) = ( -7.42174, 6.70207 )
324: (x, y) = ( 9.73649, -2.28052 )
325: (x, y) = ( -4.71626, -8.81799 )
326: (x, y) = ( -1.01616, 9.94824 )
327: (x, y) = ( 0.132466, 9.99912 )
328: (x, y) = ( 7.24118, -6.89676 )
329: (x, y) = ( -8.19288, -5.73382 )
330: (x, y) = ( 9.88705, 1.49877 )
331: (x, y) = ( 0.663069, 9.97799 )
332: (x, y) = ( 7.53902, 6.56987 )
333: (x, y) = ( -5.47729, 8.36656 )
334: (x, y) = ( -9.99374, 0.353682 )
335: (x, y) = ( 8.39088, -5.43996 )
336: (x, y) = ( -9.52413, -3.04811 )
337: (x, y) = ( 9.94364, 1.06017 )
338: (x, y) = ( -5.69726, -8.21835 )
339: (x, y) = ( -9.99021, -0.442427 )
340: (x, y) = ( -7.17985, 6.96058 )
341: (x, y) = ( -6.66938, 7.45113 )
342: (x, y) = ( -2.32388, 9.72623 )
343: (x, y) = ( 7.30174, 6.83262 )
344: (x, y) = ( 1.71717, -9.85146 )
345: (x, y) = ( -7.7108, 6.36738 )
346: (x, y) = ( 6.33319, 7.73891 )
347: (x, y) = ( 4.94872, 8.68966 )
348: (x, y) = ( 9.11118, 4.12146 )
349: (x, y) = ( 7.82212, 6.23012 )
350: (x, y) = ( -5.84184, -8.11621 )
351: (x, y) = ( -9.91199, -1.32382 )
352: (x, y) = ( -0.397908, -9.99208 )
353: (x, y) = ( 4.32151, 9.01801 )
354: (x, y) = ( -7.76667, -6.29911 )
355: (x, y) = ( -8.4857, 5.29083 )
356: (x, y) = ( -9.41026, -3.38333 )
357: (x, y) = ( -0.751361, -9.97173 )
358: (x, y) = ( -2.32388, 9.72623 )
359: (x, y) = ( 9.25136, 3.79636 )
360: (x, y) = ( 9.73649, -2.28052 )
361: (x, y) = ( 8.14181, 5.80611 )
362: (x, y) = ( 9.99373, 0.353983 )
363: (x, y) = ( 8.83863, 4.67745 )
364: (x, y) = ( 9.07447, 4.20167 )
365: (x, y) = ( -2.32388, 9.72623 )
366: (x, y) = ( -4.16147, 9.09297 )
367: (x, y) = ( 1.71717, -9.85146 )
368: (x, y) = ( 9.9859, 0.530836 )
369: (x, y) = ( 0.575025, -9.98345 )
370: (x, y) = ( 8.5322, -5.21551 )
371: (x, y) = ( 4.63802, 8.85939 )
372: (x, y) = ( 0.221268, -9.99755 )
373: (x, y) = ( 4.71652, -8.81785 )
374: (x, y) = ( 8.79703, -4.75524 )
375: (x, y) = ( -9.81106, -1.93473 )
376: (x, y) = ( 1.97784, 9.80246 )
377: (x, y) = ( 9.25136, 3.79636 )
378: (x, y) = ( -3.174, -9.48292 )
379: (x, y) = ( 5.91345, 8.06418 )
380: (x, y) = ( -5.32833, -8.4622 )
381: (x, y) = ( 9.89997, -1.4109 )
382: (x, y) = ( -7.05551, 7.08659 )
383: (x, y) = ( -8.24348, 5.66083 )
384: (x, y) = ( -9.97496, 0.707222 )
385: (x, y) = ( -7.65395, -6.43561 )
386: (x, y) = ( -9.38005, 3.46621 )
387: (x, y) = ( 2.9211, 9.56385 )
388: (x, y) = ( 9.89997, -1.4109 )
389: (x, y) = ( -8.2931, -5.58789 )
390: (x, y) = ( -8.19288, -5.73382 )
391: (x, y) = ( -6.12548, -7.90433 )
392: (x, y) = ( -3.50769, -9.36462 )
393: (x, y) = ( -7.7108, 6.36738 )
394: (x, y) = ( -9.98081, -0.619203 )
395: (x, y) = ( 0.751662, -9.97171 )
396: (x, y) = ( -4.40116, -8.97941 )
397: (x, y) = ( 4.71652, -8.81785 )
398: (x, y) = ( 4.94872, 8.68966 )
399: (x, y) = ( -3.91885, 9.20014 )
400: (x, y) = ( 2.15105, 9.76591 )
401: (x, y) = ( -2.58102, -9.66118 )
402: (x, y) = ( 3.59044, 9.33321 )
403: (x, y) = ( 9.81111, -1.93444 )
404: (x, y) = ( -3.34137, -9.42525 )
405: (x, y) = ( -0.574724, -9.98347 )
406: (x, y) = ( -5.40277, -8.41487 )
407: (x, y) = ( -7.36193, -6.76772 )
408: (x, y) = ( -5.02544, -8.64551 )
409: (x, y) = ( -3.67291, -9.30106 )
410: (x, y) = ( 1.10417, -9.93885 )
411: (x, y) = ( 9.6017, -2.79415 )
412: (x, y) = ( -9.81106, -1.93473 )
413: (x, y) = ( 1.27994, -9.91775 )
414: (x, y) = ( -6.33343, 7.73872 )
415: (x, y) = ( 9.92332, 1.23603 )
416: (x, y) = ( 0.309449, 9.99521 )
417: (x, y) = ( -9.99021, -0.442427 )
418: (x, y) = ( -9.41026, -3.38333 )
419: (x, y) = ( 8.95984, -4.44086 )
420: (x, y) = ( -1.27964, -9.91779 )
421: (x, y) = ( -3.75538, 9.26807 )
422: (x, y) = ( -6.33343, 7.73872 )
423: (x, y) = ( -8.83877, 4.67719 )
424: (x, y) = ( -3.00564, -9.53762 )
425: (x, y) = ( -8.95971, -4.44113 )
426: (x, y) = ( 9.84382, -1.76046 )
427: (x, y) = ( -2.40959, -9.70535 )
428: (x, y) = ( 9.8278, 1.84782 )
429: (x, y) = ( 1.10417, -9.93885 )
430: (x, y) = ( -1.27964, -9.91779 )
431: (x, y) = ( -8.24348, 5.66083 )
432: (x, y) = ( -6.60294, -7.51007 )
433: (x, y) = ( -2.58102, -9.66118 )
434: (x, y) = ( 8.83863, 4.67745 )
435: (x, y) = ( 9.75623, 2.19455 )
436: (x, y) = ( -9.49687, 3.132 )
437: (x, y) = ( 9.07447, 4.20167 )
438: (x, y) = ( -1.97814, 9.8024 )
439: (x, y) = ( -0.397908, -9.99208 )
440: (x, y) = ( -9.57659, -2.87903 )
441: (x, y) = ( 8.5322, -5.21551 )
442: (x, y) = ( -3.174, -9.48292 )
443: (x, y) = ( 8.83863, 4.67745 )
444: (x, y) = ( -3.75538, 9.26807 )
445: (x, y) = ( 0.751662, -9.97171 )
446: (x, y) = ( -1.54222, -9.88036 )
447: (x, y) = ( -0.663369, 9.97797 )
448: (x, y) = ( 9.37995, 3.46649 )
449: (x, y) = ( 9.11118, 4.12146 )
450: (x, y) = ( 9.87344, -1.58593 )
451: (x, y) = ( 2.2377, -9.74642 )
452: (x, y) = ( 8.66752, 4.98739 )
453: (x, y) = ( 9.71585, 2.36691 )
454: (x, y) = ( 8.99867, 4.36165 )
455: (x, y) = ( 7.42154, 6.70229 )
456: (x, y) = ( -7.65395, -6.43561 )
457: (x, y) = ( -4.71626, -8.81799 )
458: (x, y) = ( -9.62606, 2.70906 )
459: (x, y) = ( -5.62454, 8.26829 )
460: (x, y) = ( 9.11118, 4.12146 )
461: (x, y) = ( 3.91857, 9.20026 )
462: (x, y) = ( -7.17985, 6.96058 )
463: (x, y) = ( -8.3424, 5.51402 )
464: (x, y) = ( 4.16174, -9.09285 )
465: (x, y) = ( -4.16147, 9.09297 )
466: (x, y) = ( 1.54251, -9.88032 )
467: (x, y) = ( 6.80001, 7.33211 )
468: (x, y) = ( -3.75538, 9.26807 )
469: (x, y) = ( 5.55113, -8.31775 )
470: (x, y) = ( 2.66643, 9.63795 )
471: (x, y) = ( 6.26468, -7.79447 )
472: (x, y) = ( -4.24152, -9.05591 )
473: (x, y) = ( 9.18271, 3.95953 )
474: (x, y) = ( -9.2174, -3.87809 )
475: (x, y) = ( -3.34137, -9.42525 )
476: (x, y) = ( 5.40302, 8.41471 )
477: (x, y) = ( 5.76978, 8.1676 )
478: (x, y) = ( 4.24179, -9.05578 )
479: (x, y) = ( 2.15105, 9.76591 )
480: (x, y) = ( 8.87983, -4.59877 )
481: (x, y) = ( 2.75192, -9.61389 )
482: (x, y) = ( 6.60317, -7.50987 )
483: (x, y) = ( -6.60294, -7.51007 )
484: (x, y) = ( -9.73642, -2.28082 )
485: (x, y) = ( 6.40167, -7.68235 )
486: (x, y) = ( -7.30194, 6.8324 )
487: (x, y) = ( -9.92335, 1.23573 )
488: (x, y) = ( 6.60317, -7.50987 )
489: (x, y) = ( 5.17796, -8.55504 )
490: (x, y) = ( 4.55969, -8.89996 )
491: (x, y) = ( -6.53644, -7.56802 )
492: (x, y) = ( -5.84184, -8.11621 )
493: (x, y) = ( -6.46942, 7.62539 )
494: (x, y) = ( 4.87188, -8.73297 )
495: (x, y) = ( -4.94898, 8.68951 )
496: (x, y) = ( -3.59072, 9.3331 )
497: (x, y) = ( 1.01586, 9.94827 )
498: (x, y) = ( 4.94872, 8.68966 )
499: (x, y) = ( -4.48074, 8.93997 )
500: (x, y) = ( 8.83863, 4.67745 )
501: (x, y) = ( -7.05551, 7.08659 )
502: (x, y) = ( 9.81111, -1.93444 )
503: (x, y) = ( -9.71592, 2.36661 )
504: (x, y) = ( 9.11118, 4.12146 )
505: (x, y) = ( 0.839594, 9.96469 )
506: (x, y) = ( -4.0811, 9.12933 )
507: (x, y) = ( -7.53922, 6.56964 )
508: (x, y) = ( 9.94364, 1.06017 )
509: (x, y) = ( 0.928062, -9.95684 )
510: (x, y) = ( -3.42495, 9.3952 )
511: (x, y) = ( -6.12548, -7.90433 )
512: (x, y) = ( 7.76686, -6.29888 )
513: (x, y) = ( 3.00593, -9.53753 )
514: (x, y) = ( 8.39088, -5.43996 )
515: (x, y) = ( 9.37995, 3.46649 )
516: (x, y) = ( -5.40277, -8.41487 )
517: (x, y) = ( -7.24097, -6.89698 )
518: (x, y) = ( -9.73642, -2.28082 )
519: (x, y) = ( 1.36737, 9.90607 )
520: (x, y) = ( 5.25322, 8.50904 )
521: (x, y) = ( 9.98083, -0.618903 )
522: (x, y) = ( 9.46878, -3.21594 )
523: (x, y) = ( 9.84382, -1.76046 )
524: (x, y) = ( -3.99985, -9.16522 )
525: (x, y) = ( -9.94367, 1.05988 )
526: (x, y) = ( 9.9859, 0.530836 )
527: (x, y) = ( -7.24097, -6.89698 )
528: (x, y) = ( -5.62454, 8.26829 )
529: (x, y) = ( 3.34165, -9.42514 )
530: (x, y) = ( 7.93118, 6.09068 )
531: (x, y) = ( -8.71133, -4.91048 )
532: (x, y) = ( 3.50797, -9.36451 )
533: (x, y) = ( -3.00564, -9.53762 )
534: (x, y) = ( -4.71626, -8.81799 )
535: (x, y) = ( -6.66938, 7.45113 )
536: (x, y) = ( -6.26444, -7.79466 )
537: (x, y) = ( -4.32178, 9.01788 )
538: (x, y) = ( -9.62606, 2.70906 )
